locus	gene_name	Gene Expression
AT1G30814	AT1G30814	Gene Expression
AT1G78930	AT1G78930	Gene Expression
AT1G71695	PER12	Gene Expression
AT1G58983	RPS2B	Gene Expression
AT1G12980	ESR1	Gene Expression
AT1G45223	AT1G45223	Gene Expression
AT1G56250	VBF	Gene Expression
AT1G66852	AT1G66852	Gene Expression
AT1G69810	WRKY36	Gene Expression
AT1G72450	TIFY11B	Gene Expression
AT1G76280	AT1G76280	Gene Expression
AT1G65630	DEGP3	Gene Expression
AT1G71390	AtRLP11	Gene Expression
AT1G56233	AT1G56233	Gene Expression
AT1G15210	ABCG35	Gene Expression
AT1G15250	RPL37A	Gene Expression
AT1G79700	AT1G79700	Gene Expression
AT1G62895	AT1G62895	Gene Expression
AT1G73360	HDG11	Gene Expression
AT1G16360	AT1G16360	Gene Expression
AT1G10225	AT1G10225	Gene Expression
AT1G26670	VTI12	Gene Expression
AT1G34855	AT1G34855	Gene Expression
AT1G52200	PCR8	Gene Expression
AT1G57800	VIM5	Gene Expression
AT1G69460	AT1G69460	Gene Expression
AT1G04310	ERS2	Gene Expression
AT1G08080	ACA7	Gene Expression
AT1G75550	AT1G75550	Gene Expression
AT1G71890	SUC5	Gene Expression
AT1G05430	AT1G05430	Gene Expression
AT1G80870	AT1G80870	Gene Expression
AT1G75310	AUL1	Gene Expression
AT1G02010	SEC1A	Gene Expression
AT1G47900	FPP6	Gene Expression
AT1G14315	AT1G14315	Gene Expression
AT1G26760	ATXR1	Gene Expression
AT1G05250	PER2	Gene Expression
AT1G67260	TCP1	Gene Expression
AT1G24575	AT1G24575	Gene Expression
AT1G12790	PTD	Gene Expression
AT1G04850	AT1G04850	Gene Expression
AT1G31760	AT1G31760	Gene Expression
AT1G33250	AT1G33250	Gene Expression
AT1G74000	SSL11	Gene Expression
AT1G55580	SCL18	Gene Expression
AT1G53903	FLZ17	Gene Expression
AT1G19715	JAL3	Gene Expression
AT1G69430	AT1G69430	Gene Expression
AT1G53340	AT1G53340	Gene Expression
AT1G29890	AT1G29890	Gene Expression
AT1G80290	AT1G80290	Gene Expression
AT1G56540	AT1G56540	Gene Expression
AT1G48650	AT1G48650	Gene Expression
AT1G22670	RMR3	Gene Expression
AT1G07030	AT1G07030	Gene Expression
AT1G69860	NPF2.14	Gene Expression
AT1G10120	BHLH74	Gene Expression
AT1G43650	AT1G43650	Gene Expression
AT1G09960	SUC4	Gene Expression
AT1G51990	AT1G51990	Gene Expression
AT1G53625	AT1G53625	Gene Expression
AT1G63360	AT1G63360	Gene Expression
AT1G33330	AT1G33330	Gene Expression
AT1G74929	AT1G74929	Gene Expression
AT1G63430	AT1G63430	Gene Expression
AT1G80720	AT1G80720	Gene Expression
AT1G69770	CMT3	Gene Expression
AT1G08460	HDA8	Gene Expression
AT1G78710	TBL42	Gene Expression
AT1G08610	AT1G08610	Gene Expression
AT1G17540	AT1G17540	Gene Expression
AT1G27380	RIC2	Gene Expression
AT1G58643	AT1G58643	Gene Expression
AT1G48953	AT1G48953	Gene Expression
AT1G51440	AT1G51440	Gene Expression
AT1G18871	AT1G18871	Gene Expression
AT1G25210	LPXC5	Gene Expression
AT1G21610	AT1G21610	Gene Expression
AT1G79710	AT1G79710	Gene Expression
AT1G80840	WRKY40	Gene Expression
AT1G71300	AT1G71300	Gene Expression
AT1G49490	AT1G49490	Gene Expression
AT1G23645	AT1G23645	Gene Expression
AT1G09795	HISN1B	Gene Expression
AT1G48690	AT1G48690	Gene Expression
AT1G49570	PER10	Gene Expression
AT1G68470	GT17	Gene Expression
AT1G75580	AT1G75580	Gene Expression
AT1G26400	FOX3	Gene Expression
AT1G72980	LBD7	Gene Expression
AT1G59970	5MMP	Gene Expression
AT1G11520	AT1G11520	Gene Expression
AT1G30640	AT1G30640	Gene Expression
AT1G26440	UPS5	Gene Expression
AT1G51320	FBX11	Gene Expression
AT1G22070	TGA3	Gene Expression
AT1G26700	MLO14	Gene Expression
AT1G73603	LCR64	Gene Expression
AT1G55650	HMGB11	Gene Expression
AT1G78180	AT1G78180	Gene Expression
AT1G55928	AT1G55928	Gene Expression
AT1G29880	AT1G29880	Gene Expression
AT1G53645	AT1G53645	Gene Expression
AT1G06240	AT1G06240	Gene Expression
AT1G72330	ALAAT2	Gene Expression
AT1G20840	MSSP1	Gene Expression
AT1G45050	UBC15	Gene Expression
AT1G52500	FPG1	Gene Expression
AT1G10430	PP2A2	Gene Expression
AT1G05670	AT1G05670	Gene Expression
AT1G64110	AT1G64110	Gene Expression
AT1G65220	AT1G65220	Gene Expression
AT1G13635	AT1G13635	Gene Expression
AT1G54950	AT1G54950	Gene Expression
AT1G55730	CAX5	Gene Expression
AT1G07310	AT1G07310	Gene Expression
AT1G77230	AT1G77230	Gene Expression
AT1G52400	BGLU18	Gene Expression
AT1G16430	MED22A	Gene Expression
AT1G27752	AT1G27752	Gene Expression
AT1G14880	PCR1	Gene Expression
AT1G11190	ENDO1	Gene Expression
AT1G43100	AT1G43100	Gene Expression
