Gene stable ID	Transcript stable ID	TAIR ID	TAIR Gene Name ID
AT5G61960	AT5G61960.5	AT5G61960	AML1
AT5G61960	AT5G61960.10	AT5G61960	AML1
AT5G61960	AT5G61960.2	AT5G61960	AML1
AT4G29180	AT4G29180.3	AT4G29180	RHS16
AT4G29180	AT4G29180.1	AT4G29180	RHS16
AT4G29180	AT4G29180.2	AT4G29180	RHS16
AT3G09680	AT3G09680.1	AT3G09680	
AT1G56233	AT1G56233.1	AT1G56233	
AT1G15210	AT1G15210.1	AT1G15210	PDR7
AT3G63470	AT3G63470.1	AT3G63470	scpl40
AT2G16970	AT2G16970.5	AT2G16970	MEE15
AT2G16970	AT2G16970.2	AT2G16970	MEE15
AT2G16970	AT2G16970.4	AT2G16970	MEE15
AT2G16970	AT2G16970.7	AT2G16970	MEE15
AT2G16970	AT2G16970.3	AT2G16970	MEE15
AT2G16970	AT2G16970.6	AT2G16970	MEE15
AT2G16970	AT2G16970.8	AT2G16970	MEE15
AT2G16970	AT2G16970.1	AT2G16970	MEE15
AT1G15250	AT1G15250.2	AT1G15250	
AT1G15250	AT1G15250.1	AT1G15250	
AT1G79700	AT1G79700.4	AT1G79700	
AT1G79700	AT1G79700.1	AT1G79700	
AT1G79700	AT1G79700.3	AT1G79700	
AT1G79700	AT1G79700.2	AT1G79700	
AT2G46620	AT2G46620.1	AT2G46620	
AT3G46920	AT3G46920.2	AT3G46920	
AT3G46920	AT3G46920.1	AT3G46920	
AT2G43750	AT2G43750.1	AT2G43750	OASB
AT2G43750	AT2G43750.2	AT2G43750	OASB
AT1G62895	AT1G62895.1		
AT2G24490	AT2G24490.1	AT2G24490	RPA2
AT2G24490	AT2G24490.2	AT2G24490	RPA2
AT3G57080	AT3G57080.1	AT3G57080	RPB5B
AT3G13820	AT3G13820.1	AT3G13820	
AT2G15080	AT2G15080.1	AT2G15080	AtRLP19
AT2G15080	AT2G15080.2	AT2G15080	AtRLP19
AT1G73360	AT1G73360.1	AT1G73360	HDG11
AT1G16360	AT1G16360.2	AT1G16360	
AT1G16360	AT1G16360.3	AT1G16360	
AT1G16360	AT1G16360.5	AT1G16360	
AT1G16360	AT1G16360.4	AT1G16360	
AT1G16360	AT1G16360.1	AT1G16360	
AT1G10225	AT1G10225.1		
AT3G49770	AT3G49770.1	AT3G49770	
AT4G31660	AT4G31660.1	AT4G31660	
AT1G26670	AT1G26670.1	AT1G26670	VTI12
AT1G34855	AT1G34855.1		
AT1G52200	AT1G52200.2	AT1G52200	
AT1G52200	AT1G52200.1	AT1G52200	
AT1G57800	AT1G57800.1	AT1G57800	VIM5
AT1G57800	AT1G57800.2	AT1G57800	VIM5
AT4G23200	AT4G23200.2	AT4G23200	CRK12
AT4G23200	AT4G23200.1	AT4G23200	CRK12
AT1G69460	AT1G69460.1	AT1G69460	
AT1G04310	AT1G04310.1	AT1G04310	ERS2
AT1G04310	AT1G04310.2	AT1G04310	ERS2
AT1G08080	AT1G08080.1	AT1G08080	ATACA7
AT2G37678	AT2G37678.2	AT2G37678	FHY1
AT2G37678	AT2G37678.1	AT2G37678	FHY1
AT3G56070	AT3G56070.1	AT3G56070	ROC2
AT3G56070	AT3G56070.2	AT3G56070	ROC2
AT5G15420	AT5G15420.1	AT5G15420	
AT5G06020	AT5G06020.1	AT5G06020	
AT3G15251	AT3G15251.1	AT3G15251	
AT1G75550	AT1G75550.1	AT1G75550	
AT1G75550	AT1G75550.2	AT1G75550	
AT1G71890	AT1G71890.1	AT1G71890	SUC5
AT1G05430	AT1G05430.1	AT1G05430	
AT4G29810	AT4G29810.2	AT4G29810	ATMKK2
AT4G29810	AT4G29810.1	AT4G29810	ATMKK2
AT4G29810	AT4G29810.3	AT4G29810	ATMKK2
AT3G02780	AT3G02780.2	AT3G02780	IPP2
AT3G02780	AT3G02780.1	AT3G02780	IPP2
AT4G26560	AT4G26560.1	AT4G26560	CBL7
AT1G80870	AT1G80870.1	AT1G80870	
AT4G23670	AT4G23670.1	AT4G23670	
AT2G46225	AT2G46225.1	AT2G46225	ABIL1
AT2G46225	AT2G46225.2	AT2G46225	ABIL1
AT2G46225	AT2G46225.3	AT2G46225	ABIL1
AT5G18730	AT5G18730.1	AT5G18730	
AT5G67570	AT5G67570.1	AT5G67570	EMB246
AT1G75310	AT1G75310.2	AT1G75310	AUL1
AT1G75310	AT1G75310.1	AT1G75310	AUL1
AT5G29054	AT5G29054.1	AT5G29054	
AT2G27700	AT2G27700.1	AT2G27700	
AT2G27700	AT2G27700.2	AT2G27700	
AT1G02010	AT1G02010.3	AT1G02010	SEC1A
AT1G02010	AT1G02010.2	AT1G02010	SEC1A
AT1G02010	AT1G02010.5	AT1G02010	SEC1A
AT1G02010	AT1G02010.1	AT1G02010	SEC1A
AT1G02010	AT1G02010.6	AT1G02010	SEC1A
AT1G02010	AT1G02010.4	AT1G02010	SEC1A
AT1G47900	AT1G47900.2	AT1G47900	
AT1G47900	AT1G47900.3	AT1G47900	
AT1G47900	AT1G47900.1	AT1G47900	
AT5G57625	AT5G57625.1	AT5G57625	
AT4G02725	AT4G02725.2	AT4G02725	
AT4G02725	AT4G02725.1	AT4G02725	
AT1G14315	AT1G14315.1	AT1G14315	
AT1G14315	AT1G14315.2	AT1G14315	
AT5G66440	AT5G66440.1	AT5G66440	
AT4G35440	AT4G35440.1	AT4G35440	CLC-E
AT4G35440	AT4G35440.2	AT4G35440	CLC-E
AT3G52460	AT3G52460.1	AT3G52460	
AT4G26240	AT4G26240.1	AT4G26240	
AT3G55380	AT3G55380.1	AT3G55380	UBC14
AT3G55380	AT3G55380.2	AT3G55380	UBC14
AT2G16953	AT2G16953.1		
AT2G22320	AT2G22320.1	AT2G22320	
AT1G26760	AT1G26760.1	AT1G26760	ATXR1
AT1G05250	AT1G05250.1	AT1G05250	
AT3G44560	AT3G44560.3	AT3G44560	FAR8
AT3G44560	AT3G44560.2	AT3G44560	FAR8
AT3G44560	AT3G44560.1	AT3G44560	FAR8
AT1G67260	AT1G67260.1	AT1G67260	TCP1
AT1G67260	AT1G67260.2	AT1G67260	TCP1
AT1G67260	AT1G67260.3	AT1G67260	TCP1
AT4G31950	AT4G31950.1	AT4G31950	CYP82C3
AT5G51680	AT5G51680.1	AT5G51680	
AT4G10925	AT4G10925.3	AT4G10925	
